iter	Passed	Remaining
0	1	155
1	2	127
2	3	118
3	4	107
4	5	103
5	6	100
6	7	98
7	8	96
8	9	94
9	10	95
10	11	95
11	12	95
12	14	94
13	15	93
14	16	93
15	17	93
16	18	91
17	19	89
18	20	87
19	21	86
20	22	84
21	23	83
22	24	82
23	25	80
24	26	79
25	27	77
26	28	76
27	29	75
28	30	75
29	32	74
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	56
49	54	54
50	56	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	37
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	87	21
80	88	20
81	89	19
82	90	18
83	92	17
84	93	16
85	94	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	108	2
98	109	1
99	110	0
